elo,castle
1200,0.5152
1300,0.4821
1400,0.4444
1500,0.5526
1600,0.5925
1700,0.6636
1800,0.7392
1900,0.7936
2000,0.8388
2100,0.8464
2200,0.8301
2300,0.7798
2400,0.8038
2500,0.8401
2600,0.8906
2700,0.9178
2800,0.9215
2900,0.8858
3000,0.9016
3100,0.9691
